CountYear,RoostCountStatusID,TotalCount,SpeciesID,FirstYear,RoostID
2017,Bats were present and counts were carried out,64,Rhinolophus hipposideros,1998,48780
2017,Bats were present and counts were carried out,57,Rhinolophus hipposideros,1998,48780
2017,Bats were present and counts were carried out,83,Rhinolophus hipposideros,1997,50109
2017,Bats were present and counts were carried out,90,Rhinolophus hipposideros,1997,50109
2017,Bats were present and counts were carried out,188,Pipistrellus pygmaeus,1997,50860
2017,Bats were present and counts were carried out,192,Pipistrellus pygmaeus,1997,50860
2017,Bats were present and counts were carried out,154,Rhinolophus hipposideros,2000,51680
2017,Bats were present and counts were carried out,132,Rhinolophus hipposideros,2000,51680
2017,Bats were present and counts were carried out,104,Rhinolophus hipposideros,2000,51680
2017,Bats were present and counts were carried out,66,Rhinolophus hipposideros,1993,52678
2017,Bats were present and counts were carried out,57,Rhinolophus hipposideros,1993,52678
2017,Bats were present and counts were carried out,67,Rhinolophus hipposideros,1993,52678
2017,Bats were present and counts were carried out,31,Pipistrellus pygmaeus,2009,52684
2017,Bats were present and counts were carried out,1,Pipistrellus pygmaeus,2009,52684
2017,Bats were present and counts were carried out,175,Rhinolophus hipposideros,1995,53095
2017,Bats were present and counts were carried out,101,Rhinolophus hipposideros,1995,53095
2017,Bats were present and counts were carried out,200,Rhinolophus hipposideros,1995,53095
2017,Bats were present and counts were carried out,2,Pipistrellus pygmaeus,2013,53243
2017,Bats were present and counts were carried out,9,Pipistrellus pygmaeus,2013,53243
2017,Bats were present and counts were carried out,17,Rhinolophus hipposideros,NA,53735
2017,Bats were present and counts were carried out,13,Rhinolophus hipposideros,NA,53735
2017,Bats were present and counts were carried out,6,Rhinolophus hipposideros,NA,53735
2017,Bats were present and counts were carried out,45,Rhinolophus hipposideros,1997,55226
2017,Bats were present and counts were carried out,45,Rhinolophus hipposideros,1997,55226
2017,Bats were present and counts were carried out,413,Rhinolophus hipposideros,1993,55230
2017,Bats were present and counts were carried out,305,Rhinolophus hipposideros,1993,55230
2017,Bats were present and counts were carried out,2,Pipistrellus pygmaeus,2000,55384
2017,Bats were present and counts were carried out,336,Pipistrellus pygmaeus,NA,55989
2017,Bats were present and counts were carried out,460,Pipistrellus pygmaeus,NA,55989
2017,Bats were present and counts were carried out,182,Rhinolophus hipposideros,1993,56270
2017,Bats were present and counts were carried out,278,Rhinolophus hipposideros,1993,56270
2017,Bats were present and counts were carried out,145,Rhinolophus hipposideros,1993,56270
2017,Bats were present and counts were carried out,129,Rhinolophus hipposideros,1995,56607
2017,Bats were present and counts were carried out,141,Rhinolophus hipposideros,1995,56607
2017,Bats were present and counts were carried out,47,Rhinolophus hipposideros,2005,57298
2017,Bats were present and counts were carried out,115,Rhinolophus hipposideros,1993,57328
2017,Bats were present and counts were carried out,80,Rhinolophus hipposideros,1994,57817
2017,Bats were present and counts were carried out,138,Rhinolophus hipposideros,1994,57817
